level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3445	4875	-1	
2	1	1	0	0	0	0	0	3444	803	-1	
3	1	1	1	0	0	0	0	3444	803	-1	
4	1	1	1	1	0	0	0	3444	803	-1	
5	1	1	1	1	1	0	0	3444	803	95.000000	     
2	1	2	0	0	0	710	600	2042	90	-1	
3	1	2	1	0	0	710	600	2043	90	-1	
4	1	2	1	1	0	710	600	2042	90	-1	
5	1	2	1	1	1	710	600	495	66	96.033104	PRESIDENTIAL
5	1	2	1	1	2	1225	614	329	59	96.096550	ELECTION
5	1	2	1	1	3	1577	621	300	56	96.330811	RESULTS
5	1	2	1	1	4	1898	625	85	52	96.536880	AT
5	1	2	1	1	5	2003	626	130	55	96.103836	THE
5	1	2	1	1	6	2156	629	286	57	96.212868	POLLING
5	1	2	1	1	7	2462	631	290	59	96.007942	STATION
2	1	3	0	0	0	0	797	246	102	-1	
3	1	3	1	0	0	0	797	246	102	-1	
4	1	3	1	1	0	0	797	246	102	-1	
5	1	3	1	1	1	0	797	246	102	95.000000	   
2	1	4	0	0	0	242	818	1350	269	-1	
3	1	4	1	0	0	243	818	1349	130	-1	
4	1	4	1	1	0	246	818	1346	65	-1	
5	1	4	1	1	1	246	818	127	40	46.739082	Narre
5	1	4	1	1	2	392	827	35	33	88.868187	of
5	1	4	1	1	3	446	827	149	48	15.503555	Polling
5	1	4	1	1	4	614	833	131	35	68.996086	Station
5	1	4	1	1	5	784	827	131	46	55.413670	MUTAN
5	1	4	1	1	6	929	831	231	48	91.842644	DISPENSARY
5	1	4	1	1	7	1173	833	153	36	94.767036	POLLING
5	1	4	1	1	8	1340	838	152	45	92.888908	STATION
5	1	4	1	1	9	1512	842	7	29	72.073112	1
5	1	4	1	1	10	1534	842	31	31	72.073112	of
5	1	4	1	1	11	1576	844	16	31	91.254189	3
4	1	4	1	2	0	243	891	806	57	-1	
5	1	4	1	2	1	243	891	113	36	18.823097	Ward
5	1	4	1	2	2	717	939	33	2	56.980900	__
5	1	4	1	2	3	784	901	265	47	0.000000	KIAMWANG!
3	1	4	2	0	0	244	958	850	61	-1	
4	1	4	2	1	0	244	958	850	61	-1	
5	1	4	2	1	1	244	958	278	48	44.118061	Constitvency
5	1	4	2	1	2	583	1006	3	3	78.638329	_
5	1	4	2	1	3	783	970	174	47	89.139816	GATUNDU
